iter	RMSE
0	28.03707861
1	28.013093
2	27.9776165
3	27.96089252
4	27.93246621
5	27.90817301
6	27.88694265
7	27.87001894
8	27.84989057
9	27.82504129
10	27.80667408
11	27.78889141
12	27.7672585
13	27.75135866
14	27.73159186
15	27.72314147
16	27.69934456
17	27.676593
18	27.65116623
19	27.63947848
20	27.62112893
21	27.60076145
22	27.57389665
23	27.54608922
24	27.52844018
25	27.50483578
26	27.47600556
27	27.45502114
28	27.44449973
29	27.43037904
30	27.41648571
31	27.41246213
32	27.40139284
33	27.38760644
34	27.35852663
35	27.35100567
36	27.33856099
37	27.33217536
38	27.31586836
39	27.29326525
40	27.28475921
41	27.25850483
42	27.2329402
43	27.22089303
44	27.20724681
45	27.18285831
46	27.16297501
47	27.14662587
48	27.12359476
49	27.09937076
50	27.0805358
51	27.0606258
52	27.04383846
53	27.02823474
54	27.00816301
55	26.98850884
56	26.96988448
57	26.96212593
58	26.94353885
59	26.9208707
60	26.90734563
61	26.89160334
62	26.88855022
63	26.87723324
64	26.86165064
65	26.83591392
66	26.82117928
67	26.8066478
68	26.78998675
69	26.77080068
70	26.76698911
71	26.75893884
72	26.74795986
73	26.73654878
74	26.7322635
75	26.72493764
76	26.71557922
77	26.70423224
78	26.7009394
79	26.68949825
80	26.68370588
81	26.67085927
82	26.65862501
83	26.64653898
84	26.6333398
85	26.62118847
86	26.60776734
87	26.60280261
88	26.5912766
89	26.58604937
90	26.56374684
91	26.55819012
92	26.54544711
93	26.52829714
94	26.51009046
95	26.49910946
96	26.49453341
97	26.47809693
98	26.47661359
99	26.46746885
100	26.45228483
101	26.44347615
102	26.43152949
103	26.42124691
104	26.40278774
105	26.39220809
106	26.38477717
107	26.37276553
108	26.36463782
109	26.35053799
110	26.34190076
111	26.3283877
112	26.32036112
113	26.3107716
114	26.29192394
115	26.28559106
116	26.27794117
117	26.26927719
118	26.25687657
119	26.24503823
120	26.22351291
121	26.20620095
122	26.19511141
123	26.17167319
124	26.15711812
125	26.14765445
126	26.13000577
127	26.11611414
128	26.10815845
129	26.10270627
130	26.09389387
131	26.07545261
132	26.05865685
133	26.04640067
134	26.02849833
135	26.01971632
136	25.9953449
137	25.97982268
138	25.97010505
139	25.96107992
140	25.95179285
141	25.9334124
142	25.91911161
143	25.90429866
144	25.89847181
145	25.88778298
146	25.86608047
147	25.85921202
148	25.84817746
149	25.8451963
150	25.83622666
151	25.82270866
152	25.81072838
153	25.80095053
154	25.78840009
155	25.77705615
156	25.76766558
157	25.75647826
158	25.74906107
159	25.7367166
160	25.7260053
161	25.71658091
162	25.70084354
163	25.6884556
164	25.67900582
165	25.66971405
166	25.66081932
167	25.64932859
168	25.63453173
169	25.62349002
170	25.61829789
171	25.60829174
172	25.59562141
173	25.58904342
174	25.57226429
175	25.56034656
176	25.54458539
177	25.52659858
178	25.5173537
179	25.50119865
180	25.49043498
181	25.4808184
182	25.46628816
183	25.45613288
184	25.44332495
185	25.431696
186	25.41717742
187	25.4104538
188	25.39425808
189	25.38203129
190	25.36984849
191	25.36028906
192	25.34319954
193	25.33634102
194	25.31953059
195	25.30799245
196	25.30044876
197	25.29108451
198	25.2781701
199	25.26793927
200	25.25680601
201	25.24818971
202	25.2354114
203	25.20847549
204	25.20026033
205	25.18928791
206	25.18358501
207	25.17474377
208	25.15942257
209	25.14668727
210	25.14036278
211	25.13380109
212	25.12456643
213	25.1064697
214	25.09714299
215	25.07808022
216	25.06621147
217	25.05802551
218	25.04145938
219	25.03485281
220	25.02668823
221	25.01512737
222	25.00122655
223	24.98880292
224	24.97574677
225	24.96917618
226	24.96295054
227	24.95409235
228	24.94237964
229	24.92180823
230	24.90707368
231	24.89751329
232	24.88952459
233	24.87975036
234	24.85993118
235	24.84303239
236	24.8360788
237	24.82250122
238	24.80117633
239	24.78563162
240	24.76835692
241	24.75756655
242	24.75321323
243	24.74196508
244	24.72645126
245	24.71777016
246	24.69862806
247	24.68058958
248	24.67190827
249	24.65858935
250	24.65222587
251	24.6433182
252	24.6338047
253	24.62004126
254	24.61231505
255	24.60802598
256	24.59842702
257	24.58441813
258	24.57190659
259	24.55698047
260	24.54347557
261	24.5390455
262	24.527536
263	24.52149116
264	24.51556515
265	24.51061995
266	24.50267975
267	24.48695557
268	24.47343295
269	24.46557816
270	24.46054783
271	24.4485182
272	24.44332752
273	24.42744855
274	24.41855849
275	24.40054232
276	24.39308021
277	24.37441002
278	24.35396716
279	24.33923723
280	24.32623047
281	24.3175777
282	24.30030482
283	24.28612159
284	24.27084785
285	24.25194746
286	24.24490097
287	24.23388067
288	24.22757903
289	24.20816719
290	24.20273904
291	24.19697236
292	24.18227886
293	24.17073551
294	24.15561571
295	24.15070239
296	24.14462846
297	24.1320474
298	24.12008307
299	24.0948742
300	24.08701599
301	24.07523326
302	24.06343868
303	24.05065453
304	24.03765299
305	24.02727543
306	24.02277273
307	24.00304572
308	23.99333159
309	23.98497491
310	23.97862808
311	23.96808897
312	23.94685375
313	23.93627264
314	23.92777475
315	23.91275053
316	23.90083837
317	23.89103587
318	23.87756786
319	23.86653192
320	23.85318832
321	23.83778604
322	23.82337459
323	23.81894154
324	23.80789628
325	23.79725819
326	23.78468146
327	23.77026403
328	23.75585966
329	23.75011538
330	23.74443681
331	23.73749062
332	23.72925038
333	23.71675739
334	23.70447613
335	23.69386163
336	23.68331727
337	23.67539151
338	23.6603417
339	23.63652446
340	23.62081249
341	23.60884872
342	23.59523014
343	23.57646436
344	23.57221151
345	23.56004635
346	23.54657405
347	23.53427428
348	23.52973506
349	23.52862912
350	23.51501196
351	23.50986276
352	23.49197053
353	23.4842713
354	23.46672814
355	23.45444139
356	23.4314768
357	23.42443931
358	23.41096741
359	23.4051584
360	23.39454005
361	23.38774651
362	23.37370318
363	23.37062048
364	23.36269756
365	23.35480607
366	23.34629667
367	23.33910051
368	23.32212633
369	23.31963668
370	23.31085578
371	23.29696162
372	23.28752242
373	23.28239823
374	23.27213697
375	23.25865919
376	23.25499844
377	23.24895742
378	23.23342024
379	23.21848882
380	23.20293526
381	23.18868376
382	23.18112455
383	23.17247635
384	23.16334608
385	23.15602979
386	23.14118857
387	23.1369551
388	23.12685666
389	23.11316157
390	23.10252464
391	23.08954256
392	23.07896352
393	23.06680062
394	23.05240633
395	23.04306686
396	23.03235134
397	23.02494975
398	23.0191732
399	23.0050907
400	22.99376906
401	22.98226711
402	22.97169671
403	22.96325041
404	22.95730875
405	22.94655483
406	22.93421713
407	22.93133329
408	22.91874391
409	22.90994933
410	22.89972869
411	22.8876348
412	22.88509763
413	22.87520096
414	22.86761757
415	22.86685529
416	22.86221142
417	22.84676923
418	22.83980765
419	22.829866
420	22.81565953
421	22.80574887
422	22.7989698
423	22.78625269
424	22.7774011
425	22.76731683
426	22.75646196
427	22.74335727
428	22.73295579
429	22.72727911
430	22.71854646
431	22.71123056
432	22.70540415
433	22.69484328
434	22.68628858
435	22.67792683
436	22.66206648
437	22.65250775
438	22.64405893
439	22.63575598
440	22.62743154
441	22.62065706
442	22.61369881
443	22.60206518
444	22.59326873
445	22.58682535
446	22.58289077
447	22.56691312
448	22.56191358
449	22.55269471
450	22.54311578
451	22.53428328
452	22.52107036
453	22.51450441
454	22.50433537
455	22.48825284
456	22.4782238
457	22.47080561
458	22.46255121
459	22.45256598
460	22.44125674
461	22.43689967
462	22.42065624
463	22.41068793
464	22.39838806
465	22.39628665
466	22.38915578
467	22.38293977
468	22.37300824
469	22.35780286
470	22.35603475
471	22.34934935
472	22.33538395
473	22.32606872
474	22.317652
475	22.30898493
476	22.29832821
477	22.28866982
478	22.28092004
479	22.26200486
480	22.25230474
481	22.24061727
482	22.23120011
483	22.22100852
484	22.2049429
485	22.1951423
486	22.1852192
487	22.16870785
488	22.16451474
489	22.15877783
490	22.14352986
491	22.1305457
492	22.11599827
493	22.1084214
494	22.09128361
495	22.08314874
496	22.07843109
497	22.06994282
498	22.06597126
499	22.05804646
500	22.04915047
501	22.04012828
502	22.03297326
503	22.02681923
504	22.01567959
505	22.00858238
506	21.99977006
507	21.98934064
508	21.98321097
509	21.97370446
510	21.96701254
511	21.95592444
512	21.94555304
513	21.93406824
514	21.92436017
515	21.92092953
516	21.90961857
517	21.8968793
518	21.89073815
519	21.88381927
520	21.87706189
521	21.86885597
522	21.86139567
523	21.85182592
524	21.84220464
525	21.83484521
526	21.82041425
527	21.81463989
528	21.80793843
529	21.79982227
530	21.78446533
531	21.76946012
532	21.75974851
533	21.75146509
534	21.7486471
535	21.74309951
536	21.7426638
537	21.73740448
538	21.73489949
539	21.72219368
540	21.71166736
541	21.70213791
542	21.69106431
543	21.67742894
544	21.67232942
545	21.66070229
546	21.65003203
547	21.64321204
548	21.63448569
549	21.63032267
550	21.62328991
551	21.61946523
552	21.61168482
