iter	RMSE
0	27.90423103
1	27.87893631
2	27.86572574
3	27.84022621
4	27.82656645
5	27.79194364
6	27.78357688
7	27.76908433
8	27.75145671
9	27.72642352
10	27.71941231
11	27.69153489
12	27.66491129
13	27.65337499
14	27.63546276
15	27.62960859
16	27.61991048
17	27.60305302
18	27.59205807
19	27.55852911
20	27.54050807
21	27.50615264
22	27.49738689
23	27.48462962
24	27.48063434
25	27.46667392
26	27.44943782
27	27.4348072
28	27.41382576
29	27.3905271
30	27.38663807
31	27.37615773
32	27.36921701
33	27.36148589
34	27.33980796
35	27.33427933
36	27.31647233
37	27.29148545
38	27.27923212
39	27.26863589
40	27.26111829
41	27.25284688
42	27.23532012
43	27.22973869
44	27.22096193
45	27.20333419
46	27.1986583
47	27.18507248
48	27.18401475
49	27.1575904
