iter	Logloss
0	0.5904026871
1	0.4901224976
2	0.4403168869
3	0.3961795349
4	0.3539870224
5	0.3246607628
6	0.305162941
7	0.2841887016
8	0.2682889042
9	0.26148563
10	0.2550633755
11	0.2467426643
12	0.2394175243
13	0.2354240971
14	0.2317002544
15	0.2272754555
16	0.2246079559
17	0.2196942177
18	0.2166363449
19	0.2153042736
20	0.2122462368
21	0.2110519962
22	0.2091826
23	0.2076957569
24	0.2061783466
25	0.2053378773
26	0.2043698044
27	0.2026477699
28	0.2019802151
29	0.2009694901
30	0.1999310913
31	0.1984941807
32	0.1977812977
33	0.1972292805
34	0.1965493698
35	0.1958671474
36	0.1952090969
37	0.1946701584
38	0.1939786987
39	0.193038866
40	0.1922032242
41	0.1918097935
42	0.1912828255
43	0.1907922001
44	0.190337841
45	0.1898143463
46	0.1889589405
47	0.1885226669
48	0.1882038345
49	0.1873832531
50	0.1870282383
51	0.1867193756
52	0.1864314861
53	0.1861457977
54	0.1857977028
55	0.1854914932
56	0.1851057243
57	0.1843801994
58	0.1838101196
59	0.183491148
60	0.1831724091
61	0.1828325405
62	0.1824446716
63	0.1819800739
64	0.1817189407
65	0.1812799816
66	0.180856636
67	0.1804118347
68	0.180078022
69	0.1797753773
70	0.1792769814
71	0.179092289
72	0.1786775818
73	0.1784830513
74	0.1782579536
75	0.1779719467
76	0.1778415527
77	0.1775854015
78	0.1770994396
79	0.1769486408
80	0.1765636005
81	0.1760589104
82	0.1756049137
83	0.1754042149
84	0.1750181942
85	0.1748938847
86	0.1746675816
87	0.1742878265
88	0.1738478279
89	0.1737235889
90	0.1733291283
91	0.1730125561
92	0.1726717281
93	0.1725422802
94	0.1723198605
95	0.1720074348
96	0.1716472893
97	0.171440403
98	0.1713606911
99	0.1711566334
100	0.1708137398
101	0.1706532497
102	0.1704172993
103	0.1697693806
104	0.1695666218
105	0.1693117504
106	0.1691316643
107	0.168934864
108	0.1684496059
109	0.1682235813
110	0.1680099335
111	0.1678690948
112	0.1677224998
113	0.1674228458
114	0.1673142147
115	0.167147356
116	0.1670012054
117	0.1667802181
118	0.1665365143
119	0.1662407265
120	0.1659361992
121	0.1656641998
122	0.16555723
123	0.1654018097
124	0.1652055054
125	0.1649401932
126	0.164707901
127	0.1646243477
128	0.1644356728
129	0.1643530521
130	0.1641965313
131	0.1638854599
132	0.1638105316
133	0.1636611881
134	0.1635559635
135	0.1634076996
136	0.1632760944
137	0.1631222
138	0.1628867607
139	0.1627462769
140	0.1625435295
141	0.1624647827
142	0.162205658
143	0.161927536
144	0.161694912
145	0.1615057487
146	0.161300436
147	0.1609971809
148	0.1608847466
149	0.1608173428
150	0.1606773682
151	0.1604606953
152	0.1603535938
153	0.1602548332
154	0.1600758648
155	0.1599255142
156	0.1598255119
157	0.1596891022
158	0.1595539665
159	0.159478548
160	0.1593354492
161	0.1592879982
162	0.1591607056
163	0.1590308094
164	0.1587981358
165	0.1586586819
166	0.1584413719
167	0.1583461761
168	0.1582950287
169	0.1581152306
170	0.1579966507
171	0.1577556782
172	0.1575960484
173	0.1573961582
174	0.157300293
175	0.1571511765
176	0.1570064106
177	0.1569149761
178	0.1567989521
179	0.1566255531
180	0.1564990311
181	0.1563470268
182	0.1561498966
183	0.1559573917
184	0.155804882
185	0.1555619564
186	0.1554524498
187	0.155170639
188	0.1550710316
189	0.1549331417
190	0.1548503628
191	0.1547329769
192	0.1546217308
193	0.1543853245
194	0.1542693939
195	0.154137392
196	0.1539938011
197	0.1537817135
198	0.1536350899
199	0.1535459995
200	0.1534556179
201	0.1534157944
202	0.1532489758
203	0.1531609135
204	0.1529622269
205	0.1527521725
206	0.1525839367
207	0.1525028858
208	0.152398386
209	0.1522328072
210	0.1521019325
211	0.1520268631
212	0.1519098873
213	0.1518302345
214	0.1516701603
215	0.1515743866
216	0.1514853935
217	0.1513522949
218	0.1512664909
219	0.1511657143
220	0.151122818
221	0.1510525227
222	0.1509047394
223	0.1507346802
224	0.1505214062
225	0.1504202557
226	0.1503257656
227	0.1502975655
228	0.1501875668
229	0.1500805836
230	0.1500196819
231	0.1499484196
232	0.149861681
233	0.1496819134
234	0.1496323643
235	0.1495709782
236	0.149474865
237	0.1493876705
238	0.1493097305
239	0.1492419281
240	0.1491073322
241	0.1490263405
242	0.1488780632
243	0.1488038883
244	0.1485806389
245	0.1485351982
246	0.1484124489
247	0.1483152294
248	0.1482131901
249	0.1480930004
250	0.1479924355
251	0.1478961525
252	0.1477799301
253	0.1477179089
254	0.1476645279
255	0.1475811424
256	0.1474882965
257	0.1473818913
258	0.1473006172
259	0.1472503643
260	0.1471726494
261	0.1471312504
262	0.1470978775
263	0.1470113106
264	0.1469843121
265	0.1469480629
266	0.1467699509
267	0.1467197533
268	0.1466603146
269	0.1465839462
270	0.1464660568
271	0.1462968025
272	0.1462202396
273	0.1460914536
274	0.1459709988
275	0.1459060497
276	0.1458633652
277	0.1458097801
278	0.145735817
279	0.1456647816
280	0.1455631905
281	0.1454318638
282	0.1452719917
283	0.1451298637
284	0.1450978088
285	0.1450007763
286	0.1449521694
287	0.1448174305
288	0.1447158833
289	0.144683691
290	0.1445942211
291	0.1445290489
292	0.1444667244
293	0.1443569241
294	0.1442952957
295	0.1442037144
296	0.1441553955
297	0.1440980358
298	0.144014801
299	0.143902338
300	0.1438330612
301	0.1437361488
302	0.1436556911
303	0.1434654865
304	0.1433106651
305	0.1432933311
306	0.1431756573
307	0.1430439186
308	0.1429840469
309	0.1429644337
310	0.142886755
311	0.1428587132
312	0.1426856422
313	0.1425920506
314	0.1425608883
315	0.1424957237
316	0.1423973064
317	0.1423413811
318	0.1423045788
319	0.1421664906
320	0.1420971832
321	0.1420008278
322	0.1419345398
323	0.1418833141
324	0.1417959976
325	0.1416890926
326	0.1415382118
327	0.1413070221
328	0.1412852745
329	0.141161623
330	0.1410769081
331	0.1410558681
332	0.1409013901
333	0.1408131886
334	0.1407117062
335	0.1406186094
336	0.1405792742
337	0.1404947414
338	0.1404277906
339	0.1403517017
340	0.1403238325
341	0.1402857704
342	0.1402126179
343	0.1401703854
344	0.1400683107
345	0.1399797993
346	0.1397400045
347	0.1396432772
348	0.1395787668
349	0.1395597553
350	0.1395152531
351	0.1393606405
352	0.1392963877
353	0.1392401505
354	0.1392051754
355	0.1389999924
356	0.1389270706
357	0.1388092051
358	0.1387697258
359	0.1387513695
360	0.1386890068
361	0.1386218472
362	0.1384212666
363	0.138333992
364	0.138235878
365	0.1381982813
366	0.1381374846
367	0.1379253731
368	0.1378270893
369	0.1377860527
370	0.1377238979
371	0.1376688108
372	0.1375982027
373	0.1374279766
374	0.1372878418
375	0.137211977
376	0.1370986032
377	0.1370194073
378	0.1369546185
379	0.1369388218
380	0.1368574734
381	0.1367470417
382	0.1366708879
383	0.1366110449
384	0.1365668945
385	0.1364951725
386	0.1364388466
387	0.1363640537
388	0.1363277998
389	0.1362963133
390	0.1362066259
391	0.1361463289
392	0.1360648994
393	0.1360053663
394	0.1359500322
395	0.135904891
396	0.1358461647
397	0.1357851391
398	0.1357269239
399	0.1356857567
400	0.1356291332
401	0.1354930105
402	0.135446002
403	0.1354141932
404	0.13533745
405	0.135288105
406	0.135191288
407	0.1351231127
408	0.1350773001
409	0.135028801
410	0.1349349022
411	0.1349050999
412	0.1348332338
413	0.134772048
414	0.1347245178
415	0.1346148281
416	0.1344911585
417	0.1344402542
418	0.1344125223
419	0.1343692942
420	0.1343422165
421	0.1343000031
422	0.1342579889
423	0.1342271948
424	0.1341830463
425	0.1340976563
426	0.1340405321
427	0.1339851246
428	0.1339422455
429	0.1338688745
430	0.1338303833
431	0.1337293777
432	0.1336796532
433	0.1336217785
434	0.1335731478
435	0.1335316906
436	0.1334738655
437	0.1333953075
438	0.1332568951
439	0.133217557
440	0.1331275406
441	0.1330977697
442	0.1330286674
443	0.1329657612
444	0.1329049931
445	0.1328099585
446	0.1327903481
447	0.1326587505
448	0.1325745726
449	0.1325559683
450	0.1325068808
451	0.1324714527
452	0.1323326054
453	0.1322943258
454	0.1322793226
455	0.1321580229
456	0.1321068993
457	0.1319991283
458	0.1319373016
459	0.1319126673
460	0.1318536787
461	0.1318148184
462	0.1317806845
463	0.1317649813
464	0.1317291613
465	0.131696682
466	0.1316593056
467	0.1316216564
468	0.1315900621
469	0.1315180006
470	0.1314875603
471	0.1314341908
472	0.1313900671
473	0.1313568907
474	0.1313434792
475	0.1313265877
476	0.1312607002
477	0.1312327061
478	0.131150238
479	0.1310907726
480	0.1310744677
481	0.1310219812
482	0.1309789915
483	0.1309139729
484	0.1309003267
485	0.130812314
486	0.1307689037
487	0.1307181931
488	0.1306701918
489	0.1305305099
490	0.1304899979
491	0.1304779778
492	0.1304252396
493	0.1303584604
494	0.1303060513
495	0.1302435741
496	0.1301356163
497	0.130095294
498	0.1300446692
499	0.1299671946
